Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37825378,"Good Morning, Snowplow!",Deborah Bruss,"Bruss, Deborah","Lou Fancher, Steve                   Johnson","=""1338089498""","=""9781338089493""",0,3.82,Arthur A. Levine Books,Hardcover,32,2018,2018,,2023/12/28,"to-read, kids","to-read (#142), kids (#11)",to-read,,,,0,0
1767665,Prayer,Ole Hallesby,"Hallesby, Ole",,"=""080662700X""","=""9780806627007""",0,4.41,AUGSBURG BOOKS,Paperback,212,1994,1959,,2022/02/02,"spiritual-reading, currently-reading","spiritual-reading (#4), currently-reading (#6)",currently-reading,,,,1,0
63672,The Diary of a Country Priest,Georges Bernanos,"Bernanos, Georges",Remy Rougeau,"=""0786709618""","=""9780786709618""",0,3.95,Macmillan,Paperback,312,1974,1936,2023/12/04,2023/10/18,,,read,,,,1,0
59808430,Dr. No,Percival Everett,"Everett, Percival",,"=""1644452081""","=""9781644452080""",0,3.70,Graywolf Press,Paperback,262,2022,2022,,2023/12/02,"to-read, modern-fiction","to-read (#141), modern-fiction (#2)",to-read,,,,0,0
355862,Erasure,Percival Everett,"Everett, Percival",,"=""0786888156""","=""9780786888153""",0,4.17,Hyperion,Paperback,280,2002,2001,,2023/12/02,"to-read, modern-fiction","to-read (#140), modern-fiction (#1)",to-read,,,,0,0
10190071,W. B. Yeats: Selected Poems,W.B. Yeats,"Yeats, W.B.",John                     Kelly,"=""1407221442""","=""9781407221441""",0,4.14,Phoenix ,Paperback,138,2010,1939,2023/11/20,2023/09/20,,,read,,,,1,0
8162061,La Morte D'Arthure (Volume 1); The History of King Arthur and of the Knights of the Round Table,Thomas Malory,"Malory, Thomas",,"=""1150265965""","=""9781150265969""",0,3.91,General Books,Paperback,204,2012,1485,,2023/11/13,currently-reading,currently-reading (#5),currently-reading,,,,1,0
43159514,Ash before Oak,Jeremy Cooper,"Cooper, Jeremy",,"=""1910695890""","=""9781910695890""",0,3.67,Fitzcarraldo Editions,Paperback,536,2019,2019,,2023/11/08,to-read,to-read (#139),to-read,,,,0,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.41,Grove Press,Paperback,174,1994,1944,,2021/12/08,,,read,,,,1,0
1120639,An Infinity of Little Hours: Five Young Men and Their Trial of Faith in the Western World's Most Austere Monastic Order,Nancy Klein Maguire,"Maguire, Nancy Klein",,"=""1586483277""","=""9781586483272""",0,4.18,PublicAffairs,Hardcover,296,2006,2006,,2023/02/06,"to-read, non-fiction, monastery-novels","to-read (#89), non-fiction (#3), monastery-novels (#3)",to-read,,,,0,0
958668,The Corner That Held Them,Sylvia Townsend Warner,"Warner, Sylvia Townsend",,"=""086068878X""","=""9780860688785""",0,3.94,Virago,Paperback,310,2008,1948,,2023/11/03,"to-read, monastery-novels","to-read (#133), monastery-novels (#2)",to-read,,,,0,0
64948142,Abbess of Crewe (Panther Books),Muriel Spark,"Spark, Muriel",,"=""0586052356""","=""9780586052358""",0,3.46,Granada,Paperback,112,1984,1974,,2023/02/25,"to-read, fiction, monastery-novels","to-read (#101), fiction (#23), monastery-novels (#1)",to-read,,,,0,0
902,The Westing Game,Ellen Raskin,"Raskin, Ellen",,"=""014240120X""","=""9780142401200""",0,4.00,Puffin,Paperback,182,2004,1978,,2023/11/07,"to-read, ergodic, kids","to-read (#138), ergodic (#5), kids (#10)",to-read,,,,0,0
99048,Maze: Solve the World's Most Challenging Puzzle,Christopher Manson,"Manson, Christopher",,"=""0805010882""","=""9780805010886""",0,4.19,Holt Paperbacks,Paperback,96,1985,1985,,2023/11/07,"to-read, kids, ergodic","to-read (#135), kids (#9), ergodic (#4)",to-read,,,,0,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo","William Weaver, Erwin Salim, ترانه یلدا","=""0156453800""","=""9780156453806""",0,4.11,Harcourt,Paperback,165,1974,1972,,2023/11/07,"to-read, ergodic","to-read (#137), ergodic (#2)",to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,710,2000,2000,,2023/11/07,"to-read, ergodic","to-read (#136), ergodic (#1)",to-read,,,,0,0
970443,Kingdoms of Elfin,Sylvia Townsend Warner,"Warner, Sylvia Townsend",,"=""0385285248""","=""9780385285247""",0,3.95,Delacorte Press,Paperback,222,1978,1977,,2023/11/03,"to-read, fairy-tales","to-read (#134), fairy-tales (#16)",to-read,,,,0,0
24611567,Songs of a Dead Dreamer and Grimscribe,Thomas Ligotti,"Ligotti, Thomas",Jeff VanderMeer,"=""0143107763""","=""9780143107767""",0,3.97,Penguin Books,Paperback,448,2015,2015,2023/10/31,2023/10/19,,,read,,,,1,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",0,3.92,Penguin Books,Paperback,146,2006,1962,,2023/10/31,"to-read, halloween","to-read (#132), halloween (#10)",to-read,,,,0,0
26723871,The Ideal Team Player: How to Recognize and Cultivate the Three Essential Virtues,Patrick Lencioni,"Lencioni, Patrick",,"=""1119209595""","=""9781119209591""",0,4.08,Jossey-Bass,Hardcover,240,2016,2016,2022/11/23,2022/10/23,,,read,,,,1,0
39286958,Measure What Matters,John Doerr,"Doerr, John",,"=""""","=""""",0,3.98,Penguin,Kindle Edition,299,2018,2017,,2023/10/20,currently-reading,currently-reading (#4),currently-reading,,,,1,0
14483142,A Heart on Fire,James Kubicki,"Kubicki, James",,"=""1594712875""","=""9781594712876""",0,4.43,Ave Maria Press,Paperback,198,2012,2012,2023/05/20,2023/02/23,spiritual-reading,spiritual-reading (#7),read,,,,1,0
43305488,Children of Ash and Elm: A History of the Vikings,Neil Price,"Price, Neil",,"=""""","=""""",0,4.17,Allen Lane,Hardcover,656,2020,2020,,2023/08/31,"to-read, classical-world","to-read (#130), classical-world (#5)",to-read,,,,0,0
981206,Storeys from the Old Hotel,Gene Wolfe,"Wolfe, Gene",,"=""0312890494""","=""9780312890490""",0,4.01,Tordotcom,Paperback,331,1995,1988,,2023/08/27,"to-read, fiction","to-read (#129), fiction (#29)",to-read,,,,0,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""""","=""""",0,3.84,Oxford University Press,Paperback,352,2001,1914,2023/08/18,2023/01/06,fiction,fiction (#14),read,,,,1,0
1702944,A Choice of Shakespeare's Verse,Ted Hughes,"Hughes, Ted",,"=""0374122784""","=""9780374122782""",0,4.06,"Farrar, Straus and Giroux",Paperback,224,2007,1971,,2023/08/08,"to-read, poetry","to-read (#128), poetry (#4)",to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.58,Alfred A. Knopf,Hardcover,317,2015,2015,,2023/08/06,"to-read, fiction","to-read (#127), fiction (#28)",to-read,,,,0,0
14437764,Christianity and Democracy and the Rights of Man and Natural Law,Jacques Maritain,"Maritain, Jacques",,"=""1586176005""","=""9781586176006""",0,3.82,Ignatius Press,Paperback,189,2012,1942,,2021/07/10,"to-read, infinity-pile","to-read (#18), infinity-pile (#2)",to-read,,,,0,0
40161895,Wind in the Willows (Wordsworth Collector's Editions),Kenneth Grahame,"Grahame, Kenneth",,"=""1840227826""","=""9781840227826""",0,4.02,Wordsworth Editions Ltd,Hardcover,272,2018,1908,,2023/07/20,"to-read, kids","to-read (#126), kids (#8)",to-read,,,,0,0
18730589,1177 B.C.: The Year Civilization Collapsed,Eric H. Cline,"Cline, Eric H.",Barry S. Strauss,"=""0691140898""","=""9780691140896""",0,3.74,Princeton University Press,Hardcover,264,2014,2014,,2023/07/13,"to-read, classical-world","to-read (#125), classical-world (#4)",to-read,,,,0,0
625094,The Leopard,Giuseppe Tomasi di Lampedusa,"Lampedusa, Giuseppe Tomasi di",Archibald Colquhoun,"=""0679731210""","=""9780679731214""",0,4.01,Pantheon,Paperback,319,1991,1958,,2023/07/12,"to-read, classical-world","to-read (#124), classical-world (#3)",to-read,,,,0,0
2643857,A Child's Book of Poems,Gyo Fujikawa,"Fujikawa, Gyo",,"=""0760734003""","=""9780760734001""",0,4.54,Backpack Books,Hardcover,119,2002,1969,,2023/07/11,"to-read, kids","to-read (#123), kids (#7)",to-read,,,,0,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",0,4.34,Harpercollins Childrens Books,Hardcover,176,2002,1974,,2023/07/11,"to-read, kids","to-read (#122), kids (#6)",to-read,,,,0,0
30118,A Light in the Attic,Shel Silverstein,"Silverstein, Shel",,"=""0060513063""","=""9780060513061""",0,4.36,Harpercollins Childrens Books,Hardcover,176,2002,1981,,2023/07/11,"to-read, kids","to-read (#121), kids (#5)",to-read,,,,0,0
203918,A Child's Anthology of Poetry,Elizabeth Hauge Sword,"Sword, Elizabeth Hauge","Victoria Flournoy McCarthy, Tom Pohrt","=""0880013788""","=""9780880013789""",0,4.11,Ecco,Hardcover,323,1995,1995,,2023/07/11,"to-read, kids","to-read (#120), kids (#4)",to-read,,,,0,0
948529,American Tall Tales,Mary Pope Osborne,"Osborne, Mary Pope",Michael McCurdy,"=""0679800891""","=""9780679800897""",0,3.99,Knopf Books for Young Readers,Hardcover,115,1991,1991,,2023/07/11,"to-read, kids","to-read (#119), kids (#3)",to-read,,,,0,0
1005680,"Basil of Baker Street (Basil of Baker Street, #1)",Eve Titus,"Titus, Eve",Paul Galdone,"=""0671702874""","=""9780671702878""",0,3.91,Aladdin,Paperback,112,1989,1958,,2023/07/11,"to-read, kids","to-read (#118), kids (#2)",to-read,,,,0,0
527747,"The Wonderful Flight to the Mushroom Planet (The Mushroom Planet, #1)",Eleanor Cameron,"Cameron, Eleanor",,"=""0316125407""","=""9780316125406""",0,4.02,"Little, Brown Books for Young Readers",Paperback,195,1988,1954,,2023/07/11,"to-read, kids","to-read (#117), kids (#1)",to-read,,,,0,0
636223,Ice,Anna Kavan,"Kavan, Anna",,"=""0720612683""","=""9780720612684""",0,3.66,Peter Owen Publishers,Paperback,158,2016,1967,,2023/06/27,"to-read, fiction","to-read (#116), fiction (#27)",to-read,,,,0,0
694119,The Deep,John Crowley,"Crowley, John",Richard M. Powers,"=""0425031632""","=""9780425031636""",0,3.46,Berkley Medallion,Mass Market Paperback,186,1976,1975,,2023/06/27,"to-read, fairy-tales","to-read (#115), fairy-tales (#15)",to-read,,,,0,0
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",0,4.13,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2023/06/27,"to-read, fiction","to-read (#114), fiction (#26)",to-read,,,,0,0
493005,The Nature of Things,Lucretius,"Lucretius, Lucretius","A.E. Stallings, Richard Jenkyns","=""0140447962""","=""9780140447965""",0,3.98,Penguin Books Ltd,Paperback,304,2007,-55,,2023/06/21,"to-read, classical-world","to-read (#113), classical-world (#2)",to-read,,,,0,0
1260022,"The Ancient City: A Study of the Religion, Laws, and Institutions of Greece and Rome (Dover Books on History, Political and Social Science)",Numa Denis Fustel de Coulanges,"Coulanges, Numa Denis Fustel de",Willard Small,"=""0486447308""","=""9780486447308""",0,4.30,Dover Publications,Paperback,416,2006,1864,,2023/06/20,"to-read, classical-world","to-read (#112), classical-world (#1)",to-read,,,,0,0
2292510,A Treasury of American Folklore,B.A. Botkin,"Botkin, B.A.",,"=""0517420570""","=""9780517420577""",0,4.19,Bonanza,Hardcover,932,1983,,,2023/06/16,"to-read, fairy-tales","to-read (#111), fairy-tales (#14)",to-read,,,,0,0
60465539,Muppets in Moscow: The Unexpected Crazy True Story of Making Sesame Street in Russia,Natasha Lance Rogoff,"Rogoff, Natasha Lance",,"=""1538161281""","=""9781538161289""",0,4.14,Rowman & Littlefield Publishers,Hardcover,267,2022,2022,,2023/06/06,"to-read, non-fiction","to-read (#110), non-fiction (#5)",to-read,,,,0,0
124066276,Dead Souls,Nikolai Gogol,"Gogol, Nikolai",Larissa  Volokhonsky,"=""""","=""""",0,3.00,,Kindle Edition,540,2023,,,2023/06/02,"to-read, fiction","to-read (#109), fiction (#25)",to-read,,,,0,0
245815,I Believe in Love: A Personal Retreat Based on the Teaching of St. Thérèse of Lisieux,Jean du Coeur de Jésus d'Elbée,"d'Elbée, Jean du Coeur de Jésus",,"=""1928832288""","=""9781928832287""",0,4.66,Sophia Institute Press,Paperback,282,2001,1969,,2023/05/17,"to-read, spiritual-reading","to-read (#108), spiritual-reading (#8)",to-read,,,,0,0
41219437,Glimpses of the Unknown: Lost Ghost Stories,Mike Ashley,"Ashley, Mike",,"=""071235266X""","=""9780712352666""",0,3.73,British Library Publishing,Paperback,336,2018,2018,,2023/05/07,"to-read, halloween","to-read (#107), halloween (#9)",to-read,,,,0,0
765380,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",John Seelye,"=""""","=""""",0,3.85,Penguin Books,Paperback,210,1999,1882,2023/05/05,2023/04/05,,,read,,,,1,0
11235,The Unicorn,Iris Murdoch,"Murdoch, Iris",,"=""014002476X""","=""9780140024760""",0,3.65,Penguin Publishing Group,Paperback,270,1987,1963,,2023/04/28,"to-read, fairy-tales","to-read (#106), fairy-tales (#13)",to-read,,,,0,0
260317,Sir Gawain and the Green Knight,Unknown,"Unknown, Unknown",Brian Stone,"=""0140440925""","=""9780140440928""",0,3.76,Penguin Classics,Hardcover,185,1984,1375,2023/04/23,2023/02/23,,,read,,,,1,0
1335601,The Willows,Algernon Blackwood,"Blackwood, Algernon",,"=""1587156520""","=""9781587156526""",0,4.06,Wildside Press,Paperback,105,2003,1907,2023/04/19,2023/04/19,,,read,,,,1,0
31555194,The Book of Fairy & Folk Tales of Ireland,W.B. Yeats,"Yeats, W.B.",,"=""0753729199""","=""9780753729199""",0,4.04,Bounty Books,Paperback,406,2014,1888,,2022/04/02,"to-read, fairy-tales","to-read (#45), fairy-tales (#12)",to-read,,,,0,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",0,4.05,Penguin Books,Paperback,474,2003,1815,2023/04/04,2023/02/03,,,read,,,,1,0
60784737,Ten Planets: Stories,Yuri Herrera,"Herrera, Yuri",Lisa Dillman,"=""1644452235""","=""9781644452233""",0,3.54,Graywolf Press,Paperback,112,2023,2019,,2023/03/19,"to-read, fiction","to-read (#105), fiction (#24)",to-read,,,,0,0
686551,"Shadows of the New Sun: Wolfe on Writing/Writers on Wolfe (Liverpool Science Fiction Texts and Studies, 33)",Peter Wright,"Wright, Peter",,"=""184631058X""","=""9781846310584""",0,4.33,Liverpool University Press,Paperback,270,2007,2006,,2023/03/13,"to-read, non-fiction","to-read (#104), non-fiction (#4)",to-read,,,,0,0
123055592,Seren of the Wildwood,Marly Youmans,"Youmans, Marly",Clive Hicks-Jenkins,"=""1951319656""","=""9781951319656""",0,4.48,Wiseblood Books,Hardcover,83,2023,,,2023/03/01,"to-read, fairy-tales","to-read (#103), fairy-tales (#11)",to-read,,,,0,0
9806,Our Ancestors,Italo Calvino,"Calvino, Italo",,"=""""","=""""",0,4.25,Picador,Paperback,393,1980,1960,,2023/03/01,"to-read, fairy-tales","to-read (#102), fairy-tales (#10)",to-read,,,,0,0
3096038,Collected Stories for Children,Walter de la Mare,"Mare, Walter de la",,"=""0571067298""","=""9780571067299""",0,3.42,Faber and Faber,Paperback,400,1947,1947,,2023/02/23,"to-read, fairy-tales","to-read (#100), fairy-tales (#9)",to-read,,,,0,0
69517,The Girls of Slender Means,Muriel Spark,"Spark, Muriel",,"=""081121379X""","=""9780811213790""",0,3.65,New Directions,Paperback,140,1998,1963,,2021/12/25,"to-read, fiction","to-read (#31), fiction (#22)",to-read,,,,0,0
75586,The Táin: From the Irish Epic Táin Bó Cúailnge,Anonymous,"Anonymous, Anonymous","Thomas Kinsella, Louis le Brocquy, Tina Mahkota","=""0192803735""","=""9780192803733""",0,3.95,Oxford University Press,Paperback,282,2002,750,,2023/02/23,"to-read, fairy-tales","to-read (#99), fairy-tales (#7)",to-read,,,,0,0
824558,The Boy's King Arthur: Sir Thomas Malory's History of King Arthur and His Knights of the Round Table,Sidney Lanier,"Lanier, Sidney","Thomas Malory, N.C. Wyeth","=""0684191113""","=""9780684191119""",0,3.93,Atheneum,Hardcover,321,1989,1880,,2023/02/22,"to-read, fairy-tales","to-read (#98), fairy-tales (#6)",to-read,,,,0,0
455219,The Mabinogion (Penguin Classics),Unknown,"Unknown, Unknown",Jeffrey Gantz,"=""0140443223""","=""9780140443226""",0,3.93,Penguin Classics,Paperback,311,1976,1400,,2023/02/22,"to-read, fairy-tales","to-read (#97), fairy-tales (#5)",to-read,,,,0,0
31939371,Catarina the Wise and Other Wondrous Sicilian Folk and Fairy Tales,Giuseppe Pitrè,"Pitrè, Giuseppe","Jack D. Zipes, Adeetje Bouma","=""022646279X""","=""9780226462790""",0,4.04,University of Chicago Press,Paperback,304,2017,2017,,2023/02/21,"to-read, fairy-tales","to-read (#93), fairy-tales (#4)",to-read,,,,0,0
61714170,The Narrow Cage and Other Modern Fairy Tales (Weatherhead Books on Asia),Vasily Eroshenko,"Eroshenko, Vasily",Adam Kuplowsky,"=""0231557086""","=""9780231557085""",0,3.74,Columbia University Press,Kindle Edition,306,2023,,,2023/02/22,"to-read, fairy-tales","to-read (#94), fairy-tales (#3)",to-read,,,,0,0
73574,Lud-in-the-Mist,Hope Mirrlees,"Mirrlees, Hope","Neil Gaiman, Douglas A. Anderson","=""1593600410""","=""9781593600419""",0,3.86,Cold Spring Press,Paperback,239,2005,1926,,2023/02/22,"to-read, fairy-tales","to-read (#96), fairy-tales (#2)",to-read,,,,0,0
14686,The King of Elfland's Daughter,Lord Dunsany,"Dunsany, Lord",Neil Gaiman,"=""034543191X""","=""9780345431912""",0,3.82,Del Rey,Paperback,240,1999,1924,,2023/02/22,"to-read, fairy-tales","to-read (#95), fairy-tales (#1)",to-read,,,,0,0
3657649,Loitering With Intent,Muriel Spark,"Spark, Muriel",,"=""0698110471""","=""9780698110472""",0,3.79,Penguin Adult HC/TR,Hardcover,217,1981,1981,,2023/02/19,"to-read, fiction","to-read (#92), fiction (#21)",to-read,,,,0,0
56294095,The Betrothed,Alessandro Manzoni,"Manzoni, Alessandro","Michael F. Moore, Jhumpa Lahiri","=""0679643567""","=""9780679643562""",0,3.86,Modern Library,Hardcover,704,2022,1827,,2023/02/16,"to-read, fiction","to-read (#91), fiction (#20)",to-read,,,,0,0
21548191,The Warden,Anthony Trollope,"Trollope, Anthony",Nicholas Shrimpton,"=""0199665443""","=""9780199665440""",0,3.75,Oxford University Press,Paperback,281,2014,1855,,2023/02/15,"to-read, fiction","to-read (#90), fiction (#19)",to-read,,,,0,0
75858613,A History of the Island,Eugene Vodolazkin,"Vodolazkin, Eugene",Lisa C. Hayden,"=""1636080685""","=""9781636080680""",0,3.92,Plough Publishing,Kindle Edition,320,2023,2020,,2023/02/03,to-read,to-read (#88),to-read,,,,0,0
241962,The Flying Inn,G.K. Chesterton,"Chesterton, G.K.",,"=""048641910X""","=""9780486419107""",0,3.80,Dover,Paperback,320,2001,1914,2023/02/02,2022/12/26,,,read,,,,1,0
21023409,The Wake,Paul Kingsnorth,"Kingsnorth, Paul",,"=""1908717866""","=""9781908717863""",0,4.00,Unbound,Hardcover,365,2014,2014,,2023/01/21,"to-read, fiction","to-read (#87), fiction (#18)",to-read,,,,0,0
17332287,The Land Across,Gene Wolfe,"Wolfe, Gene",,"=""0765335956""","=""9780765335951""",0,3.44,Tor Books,Hardcover,288,2013,2013,,2023/01/17,"to-read, fiction","to-read (#86), fiction (#17)",to-read,,,,0,0
613744,"The Solitudes (The Aegypt Cycle, #1)",John Crowley,"Crowley, John",,"=""1585679860""","=""9781585679867""",0,3.84,Overlook Books,Paperback,427,2007,1987,,2023/01/10,"to-read, fiction","to-read (#85), fiction (#16)",to-read,,,,0,0
3254239,The Just Vengeance,Dorothy L. Sayers,"Sayers, Dorothy L.",,"=""""","=""""",0,4.29,Victor Gollancz Ltd,Hardcover,80,1946,1946,,2023/01/02,"to-read, fiction","to-read (#83), fiction (#13)",to-read,,,,0,0
292668,Spoon River Anthology,Edgar Lee Masters,"Masters, Edgar Lee",,"=""1406946133""","=""9781406946130""",0,4.05,Hard Press,Paperback,112,2006,1915,,2022/12/30,"to-read, poetry","to-read (#82), poetry (#3)",to-read,,,,0,0
849860,Collected Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,"=""0670849707""","=""9780670849703""",0,4.56,Viking,Hardcover,565,1998,1998,2022/12/26,2022/11/17,,,read,,,,1,0
59238014,Brisbane,Eugene Vodolazkin,"Vodolazkin, Eugene",Marian Schwartz,"=""1636080456""","=""9781636080451""",0,3.98,Plough Publishing,Hardcover,343,2022,2018,,2022/12/14,"to-read, fiction","to-read (#80), fiction (#11)",to-read,,,,0,0
173438,That Distant Land: The Collected Stories (Port William),Wendell Berry,"Berry, Wendell",,"=""159376054X""","=""9781593760540""",0,4.55,Counterpoint,Paperback,448,2005,2002,,2022/12/08,"to-read, fiction","to-read (#79), fiction (#10)",to-read,,,,0,0
897347,On Great Writing (On the Sublime) (Hackett Classics),Longinus,"Longinus, Longinus",G.M.A. Grube,"=""0872200809""","=""9780872200807""",0,3.84,"Hackett Publishing Company, Inc.",Paperback,96,1991,1,2022/12/04,2022/12/04,,,read,,,,1,0
34524403,The Safe House,Christophe Boltanski,"Boltanski, Christophe",Laura Marris,"=""022644919X""","=""9780226449197""",0,3.30,University of Chicago Press,Hardcover,240,2017,2015,,2022/04/01,to-read,to-read (#78),to-read,,,,0,0
2666792,The Hero as Werwolf,Gene Wolfe,"Wolfe, Gene",,"=""1561465402""","=""9781561465408""",0,3.77,Pulphouse Publishing,Paperback,44,1991,1991,,2020/04/16,to-read,to-read (#10),to-read,,,,0,0
23586685,The Death of Doctor Island / Fugue State,Gene Wolfe,"Wolfe, Gene",John M. Ford,"=""""","=""""",0,3.83,Tor,Paperback,203,1990,1990,2020/03/11,2020/03/15,,,read,,,,1,0
